Año solicitud;Año Inspección;Año certificación;Mes solicitud;Mes Inspección;Mes Certificación;Canal;Lugar de Trámite;Formato;Expediente;Exportador;Ruc;Producto;Nombre Cientifico;Departamento Origen;Variedad;Cod. Instalación;Contenedores;Precintos;Instalación;Tipo Instalación;Sede;Importador;Cod. Lugar de Producción;Inspector de Inspección;Tipo Vinculo Inspector;Tipo Vinculo Laboral;Inspector  Certificado;Lugar Destino;Tipo Envase;Uso Destinado;Certificación Electrónica;Partida Arancelaria;Des. Partida  Arancelaria;Pais Destino;Razon Social Destino;Certificados Generados;N° Certificado Origen;Lugar de Embarque;Medio Transporte;Estado Solicitud;Estado Inspección;Estado Certificado;Fecha Solicitud SNS2022;Fecha Solicitud Trazabilidad;Fecha Inspección Vuce;Fecha Inspección Trazabilidad;Fecha Inspección SNS2023;Fecha Certificación;Fecha Emision 1erCertificado;Envio Orgánico;Tipo Export;Cantidad Envase;Peso Neto
2025;2025;2025;4;4;4;VUCE;Aeropuerto del Callao;SNS022;2.5006E+11;NAMASKAR SOCIEDAD ANONIMA CERRADA - NAMASKAR S.A.C.;20601413320;ARANDANO, fruto fresco;Vaccinium spp.;ICA;;;;;OFICINATERMINAL AEREO;PCC;LIMACALLAO;VIRTU CO LLC;;MARTINEZ RIVERA WILDER NOE;VINCULO LABORAL;PLAZO INDEFINIDO;MARTINEZ RIVERA WILDER NOE;LOS ANGELES;CAJA(S);MUESTRA;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;EEUU;;1642773;1642773;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;25/04/2025;25/04/2025;28/04/2025;28/04/2025;28/04/2025;28/04/2025;28/04/2025;No;EX;1;1.5
2025;2025;2025;6;6;6;VUCE;LIMA CALLAO;SNS022;2.5006E+11;GO EXPORT PERÚ S.A.C.;20612929930;ARANDANO, fruto fresco;Vaccinium corymbosum;LIMA;Ventura;028-00004-PE;;520045, 520046, 520047, 520048, 520049;VERDEFLOR S.A.C.;PE;LIMACALLAO;Radha Krishan Fruit Company;010-13373-23 - 028-05776-01;KELLYE  DIOS PALACIOS;VINCULO LABORAL;EXTERNO;SILVA ALBURQUEQUE DANIEL ENRIQUE;MUMBAI;CAJA(S);CONSUMO;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;INDIA;;1669093;1669093;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;21/06/2025;21/06/2025;23/06/2025;23/06/2025;23/06/2025;23/06/2025;23/06/2025;No;EX;1,200;1,800.00
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;QORI FOODS S.A.C.;20566127181;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00043-PE;;;QORI FOODS S.A.C.;PE;ANCASH;RIBA SMITH, S.A.;010-59881-02;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;PANAMA;CAJA(S);CONSUMO;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;PANAMA;;1579699;1579699;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;2/01/2025;2/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;85;317.05
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;QORI FOODS S.A.C.;20566127181;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00043-PE;;;QORI FOODS S.A.C.;PE;ANCASH;RIBA SMITH, S.A.;010-59881-02;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;PANAMA;CAJA(S);CONSUMO;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;PANAMA;;1579699;1579699;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;2/01/2025;2/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;180;367.2
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;MMAU-138936-0;227346;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;WALMART CHILE S.A;010-33637-01 - 010-33637-03 - 010-33637-04;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;SAN ANTONIO;CAJA(S);CONSUMO;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;CHILE;;1579660;1579660;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;4,848;9,892.80
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;;;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;FOODGALLERY LTD.;010-33637-03 - 010-33637-04 - 010-33637-05;LAGUNA CHAVEZ ELIZABETH ISABEL;VINCULO LABORAL;EXTERNO;RAFAEL PANTOJA EDWIN;BANGKOK;CAJA(S);CONSUMO;NO;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;TAILANDIA;;1582318;1582318;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;8/01/2025;8/01/2025;8/01/2025;8/01/2025;8/01/2025;No;EX;510;765
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;;;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;CP AXTRA PUBLIC COMPANY LIMITED;010-33637-04 - 010-33637-05;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;BANGKOK;CAJA(S);CONSUMO;NO;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;TAILANDIA;;1579577;1579577;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;2,550;3,825.00
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;;;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;CP AXTRA PUBLIC COMPANY LIMITED;010-33637-03 - 010-33637-04 - 010-33637-05;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;BANGKOK;CAJA(S);CONSUMO;NO;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;TAILANDIA;;1579579;1579579;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;1,545;4,680.00
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;;;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;FOODGALLERY LTD.;010-33637-03 - 010-33637-05;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;BANGKOK;CAJA(S);CONSUMO;NO;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;TAILANDIA;;1579582;1579582;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;510;765
2025;2025;2025;1;1;1;VUCE;ANCASH;SNS022;2.5008E+11;EXPORTADORA FRUTICOLA DEL SUR SA;20104902864;ARANDANO, fruto fresco;Vaccinium corymbosum;ANCASH;Emerald;010-00007-PE;;;EXPORTADORA FRUTICOLA DEL SUR SA;PE;ANCASH;FRUTA INTERNACIONAL S.A.;010-33637-03 - 010-33637-05;HENOSTROZA RODRIGUEZ GINA LIZ;VINCULO LABORAL;CONTRATO ADMINISTRATIVO DE SERVICIO;HENOSTROZA RODRIGUEZ GINA LIZ;SAN JOSE;CAJA(S);CONSUMO;SI;0810.40.00.00;ARANDANOS ROJOS, MIRTILOS Y DEMAS FRUTOS DEL GENERO VACCINIUM, FRESCOS;COSTA RICA;;1579585;1579585;Aeropuerto del Callao;AEREO;GENERADO;CERRADO;APROBADO;3/01/2025;3/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;4/01/2025;No;EX;489;795.42
