Año solicitud;Año Inspección;Año certificación;Mes solicitud;Mes Inspección;Mes Certificación;Canal;Lugar de Trámite;Formato;Expediente;Exportador;Ruc;Producto;Nombre Cientifico;Departamento Origen;Variedad;Cod. Instalación;Contenedores;Precintos;Instalación;Tipo Instalación;Sede;Importador;Cod. Lugar de Producción;Inspector de Inspección;Tipo Vinculo Inspector;Tipo Vinculo Laboral;Inspector  Certificado;Lugar Destino;Tipo Envase;Uso Destinado;Certificación Electrónica;Partida Arancelaria;Des. Partida  Arancelaria;Pais Destino;Razon Social Destino;Certificados Generados;N° Certificado Origen;Lugar de Embarque;Medio Transporte;Estado Solicitud;Estado Inspección;Estado Certificado;Fecha Solicitud SNS2022;Fecha Solicitud Trazabilidad;Fecha Inspección Vuce;Fecha Inspección Trazabilidad;Fecha Inspección SNS2023;Fecha Certificación;Fecha Emision 1erCertificado;Envio Orgánico;Tipo Export;Cantidad Envase;Peso Neto
2025;2025;2025;01;01;01;VUCE;ICA;SNS022;250180005704;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;;VINCULO LABORAL;;PARDO LU HUGO;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1590936;1590936;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;16/01/2025;16/01/2025;19/01/2025;19/01/2025;19/01/2025;19/01/2025;19/01/2025;No;EX;1,456;23,296.00
2025;2025;2025;01;01;01;VUCE;ICA;SNS022;250180009917;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1601226;1601226;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;28/01/2025;28/01/2025;30/01/2025;30/01/2025;31/01/2025;31/01/2025;31/01/2025;No;EX;1,456;23,296.00
2025;2025;2025;02;02;02;VUCE;ICA;SNS022;250180013368;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1609192;1609192;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;10/02/2025;10/02/2025;12/02/2025;13/02/2025;13/02/2025;13/02/2025;13/02/2025;No;EX;1,456;23,296.00
2025;2025;2025;02;02;02;VUCE;ICA;SNS022;250180014835;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1614233;1614233;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;19/02/2025;19/02/2025;22/02/2025;23/02/2025;23/02/2025;23/02/2025;23/02/2025;No;EX;1,456;23,296.00
2025;2025;2025;02;03;03;VUCE;ICA;SNS022;250180016052;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1618104;1618104;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;27/02/2025;27/02/2025;01/03/2025;01/03/2025;03/03/2025;03/03/2025;03/03/2025;No;EX;1,456;23,296.00
2025;2025;2025;03;03;03;VUCE;ICA;SNS022;250180016885;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;LONDON GATEWAY PORT;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1620824;1620824;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;05/03/2025;05/03/2025;08/03/2025;08/03/2025;09/03/2025;09/03/2025;09/03/2025;No;EX;1,456;23,296.00
2025;2025;2025;03;03;03;VUCE;ICA;SNS022;250180017989;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;685214;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;Vision Global Group LLC;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;MANRIQUE AGUADO JOSE LUIS;PHILADELPHIA;CAJA(S);COMERCIALIZACION;SI;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;EEUU;;1625380;1625380;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;13/03/2025;13/03/2025;18/03/2025;18/03/2025;19/03/2025;19/03/2025;19/03/2025;No;EX;1,440;24,480.00
2025;2025;2025;03;03;03;VUCE;ICA;SNS022;250180017990;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;MANRIQUE AGUADO JOSE LUIS;LONDON GATEWAY PORT;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1625376;1625376;Puerto de Pisco;MARITIMO;GENERADO;CERRADO;APROBADO;13/03/2025;13/03/2025;18/03/2025;18/03/2025;19/03/2025;19/03/2025;19/03/2025;No;EX;1,456;23,296.00
2025;2025;2025;03;03;03;VUCE;ICA;SNS022;250180018568;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;AMT FRESH LTD;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;MANRIQUE AGUADO JOSE LUIS;LONDON GATEWAY;CAJA(S);COMERCIALIZACION;NO;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;INGLATERRA;;1627200;1627200;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;20/03/2025;20/03/2025;23/03/2025;23/03/2025;24/03/2025;24/03/2025;24/03/2025;No;EX;1,400;22,400.00
2025;2025;2025;03;03;03;VUCE;ICA;SNS022;250180018569;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);20106651087;LIMON TAHITI (Lima tahiti), fruto fresco;Citrus latifolia;ICA;Tahiti;016-00049-PE;;685207;CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA);PE;ICA;Vision Global Group, LLC;016-01059-01;HOSHIN STEPHANY SALAZAR JARPE;VINCULO LABORAL;EXTERNO;GUZMAN FLORES ELIZABETH LIDIA;PHILADELPHIA;CAJA(S);COMERCIALIZACION;SI;0805.50.22.00;LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA), FRESCAS O SECO AL NATURAL;EEUU;;1627469;1627469;Puerto del Callao;MARITIMO;GENERADO;CERRADO;APROBADO;20/03/2025;20/03/2025;24/03/2025;24/03/2025;24/03/2025;24/03/2025;24/03/2025;No;EX;1,440;24,480.00
